"Name","Symbol","Exchange"
"Thermax Ltd.","THERMAX.NS","NSE"
"Timken India Ltd.","TIMKEN.NS","NSE"
"Titagarh Rail Systems Ltd.","TITAGARH.NS","NSE"
"Titan Company Ltd.","TITAN.NS","NSE"
"Torrent Pharmaceuticals Ltd.","TORNTPHARM.NS","NSE"
"Torrent Power Ltd.","TORNTPOWER.NS","NSE"
"Transformers And Rectifiers (India) Ltd.","TARIL.NS","NSE"
"Trent Ltd.","TRENT.NS","NSE"
"Trident Ltd.","TRIDENT.NS","NSE"
"Triveni Engineering & Industries Ltd.","TRIVENI.NS","NSE"
"Triveni Turbine Ltd.","TRITURBINE.NS","NSE"
"Tube Investments of India Ltd.","TIINDIA.NS","NSE"
"UCO Bank","UCOBANK.NS","NSE"
"UNO Minda Ltd.","UNOMINDA.NS","NSE"
"UPL Ltd.","UPL.NS","NSE"
"UTI Asset Management Company Ltd.","UTIAMC.NS","NSE"
"UltraTech Cement Ltd.","ULTRACEMCO.NS","NSE"
"Union Bank of India","UNIONBANK.NS","NSE"
"United Breweries Ltd.","UBL.NS","NSE"
"United Spirits Ltd.","UNITDSPR.NS","NSE"
"Usha Martin Ltd.","USHAMART.NS","NSE"
"V-Guard Industries Ltd.","VGUARD.NS","NSE"
"Valor Estate Ltd.","DBREALTY.NS","NSE"
"Vardhman Textiles Ltd.","VTL.NS","NSE"
"Varun Beverages Ltd.","VBL.NS","NSE"
"Vedant Fashions Ltd.","MANYAVAR.NS","NSE"
"Vedanta Ltd.","VEDL.NS","NSE"
"Vijaya Diagnostic Centre Ltd.","VIJAYA.NS","NSE"
"Vishal Mega Mart Ltd.","VMM.NS","NSE"
"Vodafone Idea Ltd.","IDEA.NS","NSE"
"Voltas Ltd.","VOLTAS.NS","NSE"
"Waaree Energies Ltd.","WAAREEENER.NS","NSE"
"Welspun Corp Ltd.","WELCORP.NS","NSE"
"Welspun Living Ltd.","WELSPUNLIV.NS","NSE"
"Westlife Foodworld Ltd.","WESTLIFE.NS","NSE"
"Whirlpool of India Ltd.","WHIRLPOOL.NS","NSE"
"Wipro Ltd.","WIPRO.NS","NSE"
"Wockhardt Ltd.","WOCKPHARMA.NS","NSE"
"Yes Bank Ltd.","YESBANK.NS","NSE"
"ZF Commercial Vehicle Control Systems India Ltd.","ZFCVINDIA.NS","NSE"
"Zee Entertainment Enterprises Ltd.","ZEEL.NS","NSE"
"Zen Technologies Ltd.","ZENTEC.NS","NSE"
"Zensar Technolgies Ltd.","ZENSARTECH.NS","NSE"
"Zydus Lifesciences Ltd.","ZYDUSLIFE.NS","NSE"
"eClerx Services Ltd.","ECLERX.NS","NSE"
