"Name","Symbol","Exchange"
"Central Depository Services (India) Ltd.","CDSL.NS","NSE"
"Century Plyboards (India) Ltd.","CENTURYPLY.NS","NSE"
"Cera Sanitaryware Ltd","CERA.NS","NSE"
"Chalet Hotels Ltd.","CHALET.NS","NSE"
"Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT.NS","NSE"
"Chennai Petroleum Corporation Ltd.","CHENNPETRO.NS","NSE"
"Cholamandalam Financial Holdings Ltd.","CHOLAHLDNG.NS","NSE"
"Cholamandalam Investment and Finance Company Ltd.","CHOLAFIN.NS","NSE"
"Cipla Ltd.","CIPLA.NS","NSE"
"City Union Bank Ltd.","CUB.NS","NSE"
"Clean Science and Technology Ltd.","CLEAN.NS","NSE"
"Coal India Ltd.","COALINDIA.NS","NSE"
"Cochin Shipyard Ltd.","COCHINSHIP.NS","NSE"
"Coforge Ltd.","COFORGE.NS","NSE"
"Cohance Lifesciences Ltd.","COHANCE.NS","NSE"
"Colgate Palmolive (India) Ltd.","COLPAL.NS","NSE"
"Computer Age Management Services Ltd.","CAMS.NS","NSE"
"Concord Biotech Ltd.","CONCORDBIO.NS","NSE"
"Container Corporation of India Ltd.","CONCOR.NS","NSE"
"Coromandel International Ltd.","COROMANDEL.NS","NSE"
"Craftsman Automation Ltd.","CRAFTSMAN.NS","NSE"
"CreditAccess Grameen Ltd.","CREDITACC.NS","NSE"
"Crompton Greaves Consumer Electricals Ltd.","CROMPTON.NS","NSE"
"Cummins India Ltd.","CUMMINSIND.NS","NSE"
"Cyient Ltd.","CYIENT.NS","NSE"
"DCM Shriram Ltd.","DCMSHRIRAM.NS","NSE"
"DLF Ltd.","DLF.NS","NSE"
"DOMS Industries Ltd.","DOMS.NS","NSE"
"Dabur India Ltd.","DABUR.NS","NSE"
"Dalmia Bharat Ltd.","DALBHARAT.NS","NSE"
"Data Patterns (India) Ltd.","DATAPATTNS.NS","NSE"
"Deepak Fertilisers & Petrochemicals Corp. Ltd.","DEEPAKFERT.NS","NSE"
"Deepak Nitrite Ltd.","DEEPAKNTR.NS","NSE"
"Delhivery Ltd.","DELHIVERY.NS","NSE"
"Devyani International Ltd.","DEVYANI.NS","NSE"
"Divi's Laboratories Ltd.","DIVISLAB.NS","NSE"
"Dixon Technologies (India) Ltd.","DIXON.NS","NSE"
"Dr. Lal Path Labs Ltd.","LALPATHLAB.NS","NSE"
"Dr. Reddy's Laboratories Ltd.","DRREDDY.NS","NSE"
"E.I.D. Parry (India) Ltd.","EIDPARRY.NS","NSE"
"EIH Ltd.","EIHOTEL.NS","NSE"
"Eicher Motors Ltd.","EICHERMOT.NS","NSE"
"Elecon Engineering Co. Ltd.","ELECON.NS","NSE"
"Elgi Equipments Ltd.","ELGIEQUIP.NS","NSE"
"Emami Ltd.","EMAMILTD.NS","NSE"
"Emcure Pharmaceuticals Ltd.","EMCURE.NS","NSE"
"Endurance Technologies Ltd.","ENDURANCE.NS","NSE"
"Engineers India Ltd.","ENGINERSIN.NS","NSE"
"Eris Lifesciences Ltd.","ERIS.NS","NSE"
"Escorts Kubota Ltd.","ESCORTS.NS","NSE"
"Eternal Ltd.","ETERNAL.NS","NSE"
"Exide Industries Ltd.","EXIDEIND.NS","NSE"
"FSN E-Commerce Ventures Ltd.","NYKAA.NS","NSE"
"Federal Bank Ltd.","FEDERALBNK.NS","NSE"
"Fertilisers and Chemicals Travancore Ltd.","FACT.NS","NSE"
"Finolex Cables Ltd.","FINCABLES.NS","NSE"
"Finolex Industries Ltd.","FINPIPE.NS","NSE"
"Firstsource Solutions Ltd.","FSL.NS","NSE"
"Five-Star Business Finance Ltd.","FIVESTAR.NS","NSE"
"Fortis Healthcare Ltd.","FORTIS.NS","NSE"
"GAIL (India) Ltd.","GAIL.NS","NSE"
"GE Vernova T&D India Ltd.","GVT&D.NS","NSE"
"GMR Airports Ltd.","GMRAIRPORT.NS","NSE"
"Garden Reach Shipbuilders & Engineers Ltd.","GRSE.NS","NSE"
"General Insurance Corporation of India","GICRE.NS","NSE"
"Gillette India Ltd.","GILLETTE.NS","NSE"
"Gland Pharma Ltd.","GLAND.NS","NSE"
"Glaxosmithkline Pharmaceuticals Ltd.","GLAXO.NS","NSE"
"Glenmark Pharmaceuticals Ltd.","GLENMARK.NS","NSE"
"Global Health Ltd.","MEDANTA.NS","NSE"
"Go Digit General Insurance Ltd.","GODIGIT.NS","NSE"
"Godawari Power & Ispat Ltd.","GPIL.NS","NSE"
"Godfrey Phillips India Ltd.","GODFRYPHLP.NS","NSE"
"Godrej Agrovet Ltd.","GODREJAGRO.NS","NSE"
"Godrej Consumer Products Ltd.","GODREJCP.NS","NSE"
"Godrej Industries Ltd.","GODREJIND.NS","NSE"
"Godrej Properties Ltd.","GODREJPROP.NS","NSE"
"Granules India Ltd.","GRANULES.NS","NSE"
"Graphite India Ltd.","GRAPHITE.NS","NSE"
"Grasim Industries Ltd.","GRASIM.NS","NSE"
"Gravita India Ltd.","GRAVITA.NS","NSE"
"Great Eastern Shipping Co. Ltd.","GESHIP.NS","NSE"
"Gujarat Fluorochemicals Ltd.","FLUOROCHEM.NS","NSE"
"Gujarat Gas Ltd.","GUJGASLTD.NS","NSE"
"Gujarat Mineral Development Corporation Ltd.","GMDCLTD.NS","NSE"
"Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","GNFC.NS","NSE"
"Gujarat Pipavav Port Ltd.","GPPL.NS","NSE"
"Gujarat State Petronet Ltd.","GSPL.NS","NSE"
"H.E.G. Ltd.","HEG.NS","NSE"
"HBL Engineering Ltd.","HBLENGINE.NS","NSE"
"HCL Technologies Ltd.","HCLTECH.NS","NSE"
"HDFC Asset Management Company Ltd.","HDFCAMC.NS","NSE"
"HDFC Bank Ltd.","HDFCBANK.NS","NSE"
"HDFC Life Insurance Company Ltd.","HDFCLIFE.NS","NSE"
"HFCL Ltd.","HFCL.NS","NSE"
"Happiest Minds Technologies Ltd.","HAPPSTMNDS.NS","NSE"
"Havells India Ltd.","HAVELLS.NS","NSE"
"Hero MotoCorp Ltd.","HEROMOTOCO.NS","NSE"
"Himadri Speciality Chemical Ltd.","HSCL.NS","NSE"
"Hindalco Industries Ltd.","HINDALCO.NS","NSE"
"Hindustan Aeronautics Ltd.","HAL.NS","NSE"
"Hindustan Copper Ltd.","HINDCOPPER.NS","NSE"
"Hindustan Petroleum Corporation Ltd.","HINDPETRO.NS","NSE"
"Hindustan Unilever Ltd.","HINDUNILVR.NS","NSE"
"Hindustan Zinc Ltd.","HINDZINC.NS","NSE"
"Hitachi Energy India Ltd.","POWERINDIA.NS","NSE"
"Home First Finance Company India Ltd.","HOMEFIRST.NS","NSE"
"Honasa Consumer Ltd.","HONASA.NS","NSE"
"Honeywell Automation India Ltd.","HONAUT.NS","NSE"
"Housing & Urban Development Corporation Ltd.","HUDCO.NS","NSE"
"Hyundai Motor India Ltd.","HYUNDAI.NS","NSE"
"ICICI Bank Ltd.","ICICIBANK.NS","NSE"
"ICICI Lombard General Insurance Company Ltd.","ICICIGI.NS","NSE"
"ICICI Prudential Life Insurance Company Ltd.","ICICIPRULI.NS","NSE"
"IDBI Bank Ltd.","IDBI.NS","NSE"
"IDFC First Bank Ltd.","IDFCFIRSTB.NS","NSE"
"IFCI Ltd.","IFCI.NS","NSE"
"IIFL Finance Ltd.","IIFL.NS","NSE"
"INOX India Ltd.","INOXINDIA.NS","NSE"
"IRB Infrastructure Developers Ltd.","IRB.NS","NSE"
"IRCON International Ltd.","IRCON.NS","NSE"
"ITC Ltd.","ITC.NS","NSE"
"ITI Ltd.","ITI.NS","NSE"
"Indegene Ltd.","INDGN.NS","NSE"
"India Cements Ltd.","INDIACEM.NS","NSE"
"Indiamart Intermesh Ltd.","INDIAMART.NS","NSE"
"Indian Bank","INDIANB.NS","NSE"
"Indian Energy Exchange Ltd.","IEX.NS","NSE"
"Indian Hotels Co. Ltd.","INDHOTEL.NS","NSE"
"Indian Oil Corporation Ltd.","IOC.NS","NSE"
"Indian Overseas Bank","IOB.NS","NSE"
"Indian Railway Catering And Tourism Corporation Ltd.","IRCTC.NS","NSE"
"Indian Railway Finance Corporation Ltd.","IRFC.NS","NSE"
"Indian Renewable Energy Development Agency Ltd.","IREDA.NS","NSE"
"Indraprastha Gas Ltd.","IGL.NS","NSE"
"Indus Towers Ltd.","INDUSTOWER.NS","NSE"
"IndusInd Bank Ltd.","INDUSINDBK.NS","NSE"
"Info Edge (India) Ltd.","NAUKRI.NS","NSE"
"Infosys Ltd.","INFY.NS","NSE"
"Inox Wind Ltd.","INOXWIND.NS","NSE"
"Intellect Design Arena Ltd.","INTELLECT.NS","NSE"
"InterGlobe Aviation Ltd.","INDIGO.NS","NSE"
"International Gemmological Institute (India) Ltd.","IGIL.NS","NSE"
"Inventurus Knowledge Solutions Ltd.","IKS.NS","NSE"
"Ipca Laboratories Ltd.","IPCALAB.NS","NSE"
"J.B. Chemicals & Pharmaceuticals Ltd.","JBCHEPHARM.NS","NSE"
"J.K. Cement Ltd.","JKCEMENT.NS","NSE"
"JBM Auto Ltd.","JBMA.NS","NSE"
"JK Tyre & Industries Ltd.","JKTYRE.NS","NSE"
"JM Financial Ltd.","JMFINANCIL.NS","NSE"
"JSW Energy Ltd.","JSWENERGY.NS","NSE"
"JSW Holdings Ltd.","JSWHL.NS","NSE"
"JSW Infrastructure Ltd.","JSWINFRA.NS","NSE"
"JSW Steel Ltd.","JSWSTEEL.NS","NSE"
"Jaiprakash Power Ventures Ltd.","JPPOWER.NS","NSE"
"Jammu & Kashmir Bank Ltd.","J&KBANK.NS","NSE"
